2026-03-24 05:24:43 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:43 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:43 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] informative/succinct_information
2026-03-24 05:24:43 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [informative/succinct_information] img_531f0f9ca879.png
2026-03-24 05:24:43 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] informative/succinct_information
2026-03-24 05:24:44 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [informative/succinct_information] img_187548361dda.png
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Ancestor <figure> (+2)
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Aspect-ratio heuristic 1.57 514×328 (+1)
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=3 → YES
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1c] complex/charts
2026-03-24 05:24:44 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [complex/charts] img_77264935933d.png
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Ancestor <figure> (+2)
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Aspect-ratio heuristic 1.57 514×328 (+1)
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=3 → YES
2026-03-24 05:24:44 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1c] complex/charts
2026-03-24 05:24:45 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [complex/charts] img_9b2c9335e55f.png
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/how-to-overcome-common-saas-marketing-challenges-and-drive-growth-through-strategic-campaigns/', 'hasClick': True}
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1e] functional/images
2026-03-24 05:24:45 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/images] img_b4eccaf66230.png
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/mastering-prompt-engineering-the-strategic-advantage-for-smarter-ai/', 'hasClick': True}
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1e] functional/images
2026-03-24 05:24:45 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/images] img_8eeca7ce6279.png
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/about-customer-journey-mapping/', 'hasClick': True}
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:45 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1e] functional/images
2026-03-24 05:24:46 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/images] img_5ed95942e26a.png
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] decorative/missing_alt (WCAG violation)
2026-03-24 05:24:46 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [decorative/missing_alt] img_b1a19de6e228.png
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] decorative/missing_alt (WCAG violation)
2026-03-24 05:24:46 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [decorative/missing_alt] img_0429b619bd82.png
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:46 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] decorative/missing_alt (WCAG violation)
2026-03-24 05:24:46 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [decorative/missing_alt] img_e712abf3876a.png
2026-03-24 05:24:47 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:47 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:24:47 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] decorative/missing_alt (WCAG violation)
2026-03-24 05:24:47 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [decorative/missing_alt] img_3e75b7986211.png
2026-03-24 05:24:47 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
